sent0,sent1,neg1,neg2,neg3,neg4,neg5,neg6,neg7,neg8,neg9,neg10,neg11,neg12,neg13,neg14,neg15,neg16,neg17,neg18,neg19,neg20
" The incidence of ovarian, gastric, and biliary system carcinomas and of leukemia and lymphoma was increased in these A-T families",leukemia is a disease,"of ovarian, is a disease",in is a disease,and biliary is a disease,"gastric, and biliary is a disease",these A-T families is a disease, , The is a disease,and lymphoma was is a disease,system carcinomas and is a disease,was increased in is a disease,"gastric, and is a disease",lymphoma was increased is a disease,The incidence is a disease,in these A-T is a disease,increased is a disease,and biliary system is a disease,of is a disease,"ovarian, is a disease",in these is a disease,these A-T is a disease
" The incidence of ovarian, gastric, and biliary system carcinomas and of leukemia and lymphoma was increased in these A-T families",A-T is a disease,The is a disease,and of leukemia is a disease,incidence is a disease,carcinomas and of is a disease,these is a disease,carcinomas is a disease,A-T families is a disease,system carcinomas is a disease, ,The incidence of is a disease, ,"ovarian, gastric, is a disease",and is a disease,of leukemia and is a disease,biliary system carcinomas is a disease, is a disease,"gastric, is a disease",carcinomas and is a disease,biliary is a disease,families is a disease
" Other neoplasms that may be associated with this gene in heterozygotes include pancreatic, basal cell, colonic, breast, and cervical carcinomas",neoplasms is a disease,"include pancreatic, is a disease",in heterozygotes is a disease,"pancreatic, is a disease","pancreatic, basal cell, is a disease",may be is a disease,associated is a disease, Other neoplasms is a disease,that may be is a disease,that is a disease,be is a disease,this gene in is a disease,"cell, colonic, is a disease",gene in heterozygotes is a disease,"breast, and cervical is a disease",cervical is a disease,and cervical carcinomas is a disease,cervical carcinomas is a disease,in heterozygotes include is a disease,Other is a disease,may be associated is a disease
Molecular genetics of PKU in eastern Europe: a nonsense mutation associated with haplotype 4 of the phenylalanine hydroxylase gene,PKU is a disease,with haplotype is a disease,of is a disease,Europe: is a disease,with haplotype 4 is a disease,eastern Europe: is a disease,nonsense mutation is a disease,a is a disease,genetics of PKU is a disease,associated is a disease,genetics is a disease,the phenylalanine is a disease,hydroxylase gene is a disease,with is a disease,mutation associated with is a disease,associated with haplotype is a disease,in is a disease,a nonsense is a disease,eastern Europe: a is a disease,haplotype 4 of is a disease,mutation associated is a disease
 Phenylketonuria (PKU) is a genetic disorder secondary to a deficiency of hepatic phenylalanine hydroxylase (PAH),Phenylketonuria is a disease,(PKU) is a is a disease,genetic is a disease, Phenylketonuria is a disease, ,a genetic is a disease, ,phenylalanine hydroxylase (PAH) is a disease, ,hepatic phenylalanine is a disease, , ,secondary to a is a disease, , ,a deficiency is a disease,to is a disease,to a is a disease,phenylalanine is a disease,a genetic disorder is a disease, 
 Phenylketonuria (PKU) is a genetic disorder secondary to a deficiency of hepatic phenylalanine hydroxylase (PAH),PKU is a disease,is is a disease,a is a disease,disorder secondary to is a disease, ,secondary to is a disease, , ,of hepatic is a disease,(PAH) is a disease,deficiency of is a disease,to a deficiency is a disease,is a genetic is a disease,disorder is a disease, ,hepatic phenylalanine hydroxylase is a disease, ,hydroxylase (PAH) is a disease, , Phenylketonuria (PKU) is a disease,(PKU) is a disease
 Phenylketonuria (PKU) is a genetic disorder secondary to a deficiency of hepatic phenylalanine hydroxylase (PAH),genetic disorder is a disease, ,secondary is a disease,is a is a disease,hepatic is a disease,phenylalanine hydroxylase is a disease, ,a deficiency of is a disease,(PKU) is is a disease, ,genetic disorder secondary is a disease,Phenylketonuria (PKU) is is a disease,disorder secondary is a disease,Phenylketonuria (PKU) is a disease,deficiency of hepatic is a disease,deficiency is a disease, ,of hepatic phenylalanine is a disease,of is a disease,hydroxylase is a disease, is a disease
 A new molecular lesion has been identified in exon 7 of the PAH gene in a Hungarian PKU patient by direct sequencing of PCR-amplified DNA,PKU is a disease,new is a disease,Hungarian PKU is a disease,has been is a disease, A new is a disease,PCR-amplified DNA is a disease,in exon 7 is a disease,new molecular lesion is a disease,PAH gene in is a disease,of the is a disease,PCR-amplified is a disease,sequencing of is a disease,been identified in is a disease,in exon is a disease,the PAH gene is a disease,exon 7 of is a disease,Hungarian PKU patient is a disease,DNA is a disease,patient by is a disease,in a is a disease,identified in is a disease
Human deficiency of the sixth component of complement in a patient with meningococcal meningitis and no haemostasis abnormality,meningococcal meningitis is a disease,the sixth is a disease,meningococcal meningitis and is a disease,component is a disease,in a patient is a disease,sixth is a disease,meningitis and no is a disease,deficiency of the is a disease,patient with is a disease,with meningococcal is a disease,in a is a disease,patient is a disease,of is a disease,complement is a disease,patient with meningococcal is a disease,component of is a disease,a patient with is a disease,the is a disease,deficiency is a disease,Human deficiency of is a disease,component of complement is a disease
 A case of human complete C6 deficiency is reported,C6 deficiency is a disease, A is a disease,deficiency is a disease,human complete C6 is a disease,A case of is a disease,of human is a disease,is is a disease,case of human is a disease,is reported is a disease,complete C6 deficiency is a disease,reported is a disease,A case is a disease,case of is a disease,deficiency is reported is a disease,human is a disease,of human complete is a disease,C6 deficiency is is a disease,A is a disease,human complete is a disease,C6 is a disease,deficiency is is a disease
" The patient, a 31 year old white male, was seen on the occasion of an isolated episode of meningococcal meningitis",meningococcal meningitis is a disease,isolated episode is a disease,old white is a disease,old is a disease,white is a disease, is a disease,on the occasion is a disease, The is a disease,the is a disease,of an isolated is a disease,an is a disease," The patient, is a disease",the occasion of is a disease,"white male, is a disease",year is a disease,was seen on is a disease,an isolated episode is a disease,meningitis is a disease,"The patient, a is a disease",isolated is a disease,"patient, a 31 is a disease"
"The Wiskott-Aldrich syndrome: refinement of the localization on Xp and identification of another closely linked marker locus, OATL1",Wiskott-Aldrich syndrome is a disease,of the is a disease,on Xp and is a disease,localization is a disease,and identification is a disease,localization on Xp is a disease,The Wiskott-Aldrich is a disease,identification of is a disease,the localization is a disease,"marker locus, is a disease",The Wiskott-Aldrich syndrome: is a disease,the is a disease,another is a disease,Xp and identification is a disease,OATL1 is a disease,The is a disease,on Xp is a disease,"locus, is a disease",Wiskott-Aldrich syndrome: is a disease,"linked marker locus, is a disease","locus, OATL1 is a disease"
 The Wiskott-Aldrich syndrome (WAS) has previously been mapped to the proximal short arm of the X chromosome between the DXS14 and DXS7 loci,Wiskott-Aldrich syndrome is a disease,syndrome (WAS) is a disease,been mapped to is a disease, The Wiskott-Aldrich is a disease,chromosome between the is a disease,the DXS14 and is a disease,the X chromosome is a disease,loci is a disease,The Wiskott-Aldrich syndrome is a disease,DXS14 and is a disease, The is a disease,chromosome is a disease,DXS7 loci is a disease,the DXS14 is a disease,(WAS) is a disease,mapped to is a disease,chromosome between is a disease,the proximal short is a disease,proximal short arm is a disease,(WAS) has is a disease,The Wiskott-Aldrich is a disease
